%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1455190234785702087,771513,1455190234785702087,world,0.058200892061,1.16314649582,1.0174331665,-0.0241065770388,-0.000935445539653,-8.30183198559e-05,0.999709010124
1455190234794090545,771514,1455190234794090545,world,0.0582231543958,1.16319262981,1.01742136478,-0.0241545215249,-0.000954678631388,9.21348982956e-05,0.999707877636
1455190234802527916,771515,1455190234802527916,world,0.0582261271775,1.16318821907,1.01738536358,-0.0243352949619,-0.00103269063402,-0.000229509809287,0.999703407288
1455190234810525354,771516,1455190234810525354,world,0.058243278414,1.16320610046,1.01738607883,-0.0236757453531,-0.00116895302199,-0.000405517348554,0.999719023705
1455190234818991464,771517,1455190234818991464,world,0.058212839067,1.1631911993,1.01738500595,-0.0236385092139,-0.00119935430121,9.05678825802e-06,0.99971985817
1455190234827273076,771518,1455190234827273076,world,0.0582222007215,1.1632168293,1.01741564274,-0.0238712932914,-0.00139348383527,-0.000211448757909,0.999714076519
1455190234835318031,771519,1455190234835318031,world,0.058181874454,1.16322290897,1.01743245125,-0.0240936540067,-0.0014974437654,-1.17202935144e-05,0.999708652496
1455190234843932189,771520,1455190234843932189,world,0.0582131631672,1.16316080093,1.01743662357,-0.0240616612136,-0.00127460982185,-0.000351177412085,0.999709606171
1455190234852341447,771521,1455190234852341447,world,0.0581744201481,1.16314530373,1.0174677372,-0.0241031143814,-0.00132793560624,2.29070446949e-05,0.999708652496
1455190234860740913,771522,1455190234860740913,world,0.058203946799,1.16318106651,1.0174601078,-0.0242927614599,-0.00130877189804,-0.000198639027076,0.999704122543
1455190234868927638,771523,1455190234868927638,world,0.0581565648317,1.16320693493,1.01747381687,-0.0238913930953,-0.00153948541265,3.56169766746e-05,0.999713480473
1455190234877173755,771524,1455190234877173755,world,0.0581787228584,1.16317498684,1.01742982864,-0.0242615435272,-0.0010883519426,-0.000192907129531,0.999705076218
1455190234885725653,771525,1455190234885725653,world,0.0582345165312,1.16320073605,1.01739501953,-0.0241646748036,-0.00115078303497,-0.000206468073884,0.999707341194
1455190234893788820,771526,1455190234893788820,world,0.0581908971071,1.16318678856,1.01738882065,-0.0236052367836,-0.00128207996022,-4.51506957688e-06,0.999720573425
1455190234902291689,771527,1455190234902291689,world,0.0582084581256,1.1631872654,1.01739907265,-0.0238152854145,-0.00116726499982,-0.000247316173045,0.999715745449
1455190234910511180,771528,1455190234910511180,world,0.0582427978516,1.16321218014,1.01736402512,-0.0241122469306,-0.00110765802674,-0.000247862597462,0.999708712101
1455190234919044552,771529,1455190234919044552,world,0.0582541115582,1.16321206093,1.0174036026,-0.0242831017822,-0.00132813642267,-0.000345609674696,0.999704241753
1455190234927300109,771530,1455190234927300109,world,0.0582172051072,1.16315829754,1.01744520664,-0.0240431446582,-0.00121196219698,-0.000126338738482,0.999710202217
1455190234935645991,771531,1455190234935645991,world,0.058202445507,1.16317629814,1.01743781567,-0.0244035385549,-0.00122329569422,-0.00016297827824,0.999701440334
1455190234943675343,771532,1455190234943675343,world,0.0582062117755,1.16314840317,1.01742696762,-0.024395160377,-0.00130434846506,-0.000275156693533,0.999701559544
1455190234952320244,771533,1455190234952320244,world,0.0582127422094,1.16319644451,1.01742196083,-0.0244453940541,-0.00103941524867,-0.000216977365199,0.999700665474
1455190234960633942,771534,1455190234960633942,world,0.0581969246268,1.1632090807,1.01743090153,-0.0239111278206,-0.00143892783672,-0.000314857024932,0.999713003635
1455190234968989938,771535,1455190234968989938,world,0.0582108944654,1.16325759888,1.01742494106,-0.0241960454732,-0.00095268531004,-0.000481235649204,0.999706745148
1455190234977267244,771536,1455190234977267244,world,0.0581955686212,1.16315031052,1.01743710041,-0.0240922383964,-0.00160325667821,-0.000242149966653,0.999708533287
1455190234985573107,771537,1455190234985573107,world,0.0581938102841,1.163215518,1.01741564274,-0.0240324307233,-0.00149391847663,-0.000218606684939,0.999710142612
1455190234994023777,771538,1455190234994023777,world,0.0582189112902,1.16317617893,1.0174292326,-0.0241684950888,-0.00140288623516,-0.000148658058606,0.999706983566
1455190235002331373,771539,1455190235002331373,world,0.0582277625799,1.16315090656,1.01745700836,-0.0242466274649,-0.00108119728975,-8.42701410875e-05,0.999705433846
1455190235010542304,771540,1455190235010542304,world,0.0582283511758,1.16319394112,1.01741290092,-0.0241218227893,-0.0016434394056,-0.000154187597218,0.999707698822
1455190235019275300,771541,1455190235019275300,world,0.0582255572081,1.16313683987,1.01739954948,-0.0245077721775,-0.000936711381655,-0.000264819362201,0.999699175358
